id,name,twitter
33,Munchie Mobile,MunchieMobileNY
1,Andy’s Italian Ices,AndysItalianIce
3,Big D’s Grub,bigdsgrub
55,Wafels N Dinges,waffletruck
2,Bian Dang,biandangnyc
4,Blend Express,Blend_Express
6,Chinese Mirch,ChineseMirch
53,Uncle Gussys,UncleGussys
50,The Treats Truck,TheTreatsTruck
49,Taim Mobile,TaimMobile
48,Taco Bite,tacobite
47,Sweetery NYC,SweeteryNYC
46,Steaks N' Crepes,steaksNcrepes
23,Kimchi Taco,KimchiTruck
45,Souvlaki GR,souvlakitruck
43,Seoul Food,seoulfoodnyc
42,Schnitzel & Things,schnitz_things
41,Rickshaw,rickshawbar
39,Phil’s Steaks,PhilsSteaks
37,Palenque,Palenquefood
35,Nuchas,NuchasNYC
10,Domo Tacos,DomoTaco
11,Eddies Pizza,EddiesPizzaNY
14,Fishing Shrimp,FishingShrimp
15,Frites & Meats,fritesnmeats
16,Fun Buns,funbunsnyc
21,Hibachi Heaven,hibachiheaven
24,Korilla,KorillaBBQ
27,Mexico Blvd,MexicoBlvd
28,Mexicue,Mexicue
29,Mike N' Willies,mikenwillies
30,Milk Truck,milktrucknyc
31,Morris Grilled,morristruck
